konsiltan	k-on-s-i-l-t-an
Dina	D-i-n-a
opoze	o-p-o-z-e
enteryè	en-t-e-r-y-è
ipokrit	i-p-o-k-r-i-t
ideyoloji	i-d-e-y-o-l-o-j-i
dezinye	d-e-z-i-n-y-e
bounda	b-ou-n-d-a
lig	l-i-g
vyèyfi	v-y-è-y-f-i
sak	s-a-k
imajinasyon	i-m-a-j-i-n-a-s-y-on
ekzistan	e-k-z-i-s-t-an
katrè	k-a-t-r-è
Wonal	W-o-n-a-l
teyoris	t-e-y-o-r-i-s
diplikasyon	d-i-p-l-i-k-a-s-y-on
telefone	t-e-l-e-f-o-n-e
mekanism	m-e-k-a-n-i-s-m
espesifik	e-s-p-e-s-i-f-i-k
kreten	k-r-e-t-en
lesklizyon	l-e-s-k-l-i-z-y-on
boukle	b-ou-k-l-e
Tobago	T-o-b-a-g-o
dekalite	d-e-k-a-l-i-t-e
limiè	l-i-m-i-è
bonnen	b-on-n-en
defandi	d-e-f-an-d-i
òdone	ò-d-o-n-e
somè	s-o-m-è
grajè	g-r-a-j-è
sesi	s-e-s-i
majiskil	m-a-j-i-s-k-i-l
apwòch	a-p-w-ò-ch
katalitik	k-a-t-a-l-i-t-i-k
peta	p-e-t-a
enpenetrab	en-p-e-n-e-t-r-a-b
Chamo	Ch-a-m-o
wondèl	w-on-d-è-l
favorab	f-a-v-o-r-a-b
atè	a-t-è
toya	t-o-y-a
abit	a-b-i-t
ayewopò	a-y-e-w-o-p-ò
woulèt	w-ou-l-è-t
kouwone	k-ou-w-o-n-e
kalekò	k-a-l-e-k-ò
Kayif	K-a-y-i-f
opinyon	o-p-i-n-y-on
pwèv	p-w-è-v
lèzond	l-è-z-on-d
blenoraji	b-l-e-n-o-r-a-j-i
kokiyaj	k-o-k-i-y-a-j
Optimis	O-p-t-i-m-i-s
ason	a-s-on
Gwoman	G-w-o-m-an
dan	d-an
entènalize	en-t-è-n-a-l-i-z-e
lamòd	l-a-m-ò-d
mepriz	m-e-p-r-i-z
detripe	d-e-t-r-i-p-e
eksploze	e-k-s-p-l-o-z-e
amikalman	a-m-i-k-a-l-m-an
zago	z-a-g-o
egzagonal	e-g-z-a-g-o-n-a-l
terapetik	t-e-r-a-p-e-t-i-k
founisè	f-ou-n-i-s-è
monfrè	m-on-f-r-è
miltirejyonal	m-i-l-t-i-r-e-j-y-o-n-a-l
lavman	l-a-v-m-an
lantèn	l-an-t-è-n
laswenyay	l-a-s-w-en-y-a-y
layite	l-a-y-i-t-e
predikatè	p-r-e-d-i-k-a-t-è
lamenfòt	l-a-m-en-f-ò-t
fegondasyon	f-e-g-on-d-a-s-y-on
reentwodwi	r-e-en-t-w-o-d-w-i
pèfòme	p-è-f-ò-m-e
aderan	a-d-e-r-an
titile	t-i-t-i-l-e
Zoa	Z-o-a
andisi	an-d-i-s-i
konsyans	k-on-s-y-an-s
lòb	l-ò-b
tizan	t-i-z-an
nwaj	n-w-a-j
majinalizasyon	m-a-j-i-n-a-l-i-z-a-s-y-on
biseksyèl	b-i-s-e-k-s-y-è-l
fisikal	f-i-s-i-k-a-l
ankonbre	an-k-on-b-r-e
devèse	d-e-v-è-s-e
tèt	t-è-t
Labradò	L-a-b-r-a-d-ò
fonksyonnen	f-on-k-s-y-on-n-en
responsab	r-e-s-p-on-s-a-b
transande	t-r-an-s-an-d-e
japwouv	j-a-p-w-ou-v
jouke	j-ou-k-e
patisipe	p-a-t-i-s-i-p-e
destinasyon	d-e-s-t-i-n-a-s-y-on
kwafèz	k-w-a-f-è-z
sousi	s-ou-s-i
jeneralman	j-e-n-e-r-a-l-m-an
reklame	r-e-k-l-a-m-e
agwoforestri	a-g-w-o-f-o-r-e-s-t-r-i
latè	l-a-t-è
Oktòb	O-k-t-ò-b
vwazinay	v-w-a-z-i-n-a-y
fre	f-r-e
natyonal	n-a-t-y-o-n-a-l
layo	l-a-y-o
ogou	o-g-ou
afichaj	a-f-i-ch-a-j
deposesyon	d-e-p-o-s-e-s-y-on
Montenegwo	M-on-t-e-n-e-g-w-o
Akilas	A-k-i-l-a-s
chèn	ch-è-n
patisipativ	p-a-t-i-s-i-p-a-t-i-v
atomize	a-t-o-m-i-z-e
mantè	m-an-t-è
tyèd	t-y-è-d
renmèsye	r-en-m-è-s-y-e
kase	k-a-s-e
Anakawona	A-n-a-k-a-w-o-n-a
demokrat	d-e-m-o-k-r-a-t
kalfou	k-a-l-f-ou
gaz	g-a-z
idewoloji	i-d-e-w-o-l-o-j-i
kòlèt	k-ò-l-è-t
Koulidj	K-ou-l-i-d-j
Bekè	B-e-k-è
kòrèkteman	k-ò-r-è-k-t-e-m-an
Wobenson	W-o-b-en-s-on
koton	k-o-t-on
tradiksyon	t-r-a-d-i-k-s-y-on
Klavdya	K-l-a-v-d-y-a
antravè	an-t-r-a-v-è
deblokaj	d-e-b-l-o-k-a-j
lasèt	l-a-s-è-t
sitire	s-i-t-i-r-e
poutchis	p-ou-t-ch-i-s
editè	e-d-i-t-è
transpoze	t-r-an-s-p-o-z-e
abdenwèl	a-b-d-e-n-w-è-l
rapid	r-a-p-i-d
jewografikman	j-e-w-o-g-r-a-f-i-k-m-an
byofizik	b-y-o-f-i-z-i-k
benevòl	b-e-n-e-v-ò-l
debwazman	d-e-b-w-a-z-m-an
chobiznis	ch-o-b-i-z-n-i-s
lam	l-a-m
ping	p-i-ng
antyèman	an-t-y-è-m-an
bwaslè	b-w-a-s-l-è
ouvèteman	ou-v-è-t-e-m-an
cherif	ch-e-r-i-f
nome	n-o-m-e
Pelig	P-e-l-i-g
gendelè	g-en-d-e-l-è
jeneralteman	j-e-n-e-r-a-l-t-e-m-an
enkontwolab	en-k-on-t-w-o-l-a-b
bouldòg	b-ou-l-d-ò-g
kanno	k-an-n-o
kavalye	k-a-v-a-l-y-e
lavalasyen	l-a-v-a-l-a-s-y-en
travay	t-r-a-v-a-y
videyotep	v-i-d-e-y-o-t-e-p
lagad	l-a-g-a-d
eskolyoz	e-s-k-o-l-y-o-z
avalide	a-v-a-l-i-d-e
preferansyèl	p-r-e-f-e-r-an-s-y-è-l
advèsite	a-d-v-è-s-i-t-e
wouke	w-ou-k-e
dominans	d-o-m-i-n-an-s
irevokab	i-r-e-v-o-k-a-b
refini	r-e-f-i-n-i
depasman	d-e-p-a-s-m-an
dekonstonbre	d-e-k-on-s-t-on-b-r-e
manifeste	m-a-n-i-f-e-s-t-e
jwif	j-w-i-f
raze	r-a-z-e
bonm	b-on-m
kesyonne	k-e-s-y-on-n-e
Maglwa	M-a-g-l-w-a
fizik	f-i-z-i-k
Elifèt	E-l-i-f-è-t
mansyone	m-an-s-y-o-n-e
Pètoma	P-è-t-o-m-a
pwodwi	p-w-o-d-w-i
Kolibri	K-o-l-i-b-r-i
zonbi	z-on-b-i
parasòl	p-a-r-a-s-ò-l
pedagoji	p-e-d-a-g-o-j-i
plamen	p-l-a-m-en
demakasyon	d-e-m-a-k-a-s-y-on
briganday	b-r-i-g-an-d-a-y
repran	r-e-p-r-an
swaf	s-w-a-f
eskal	e-s-k-a-l
menasan	m-e-n-a-s-an
dezakò	d-e-z-a-k-ò
alfabetize	a-l-f-a-b-e-t-i-z-e
monkonpè	m-on-k-on-p-è
Nonk	N-on-k
lesivyè	l-e-s-i-v-y-è
kòbiya	k-ò-b-i-y-a
gratsyèl	g-r-a-t-s-y-è-l
lendi	l-en-d-i
anglè	an-g-l-è
satan	s-a-t-an
simetri	s-i-m-e-t-r-i
mamè	m-a-m-è
Rivyèsale	R-i-v-y-è-s-a-l-e
aplikasyon	a-p-l-i-k-a-s-y-on
fondasyon	f-on-d-a-s-y-on
afichay	a-f-i-ch-a-y
Sajous	S-a-j-ou-s
pridan	p-r-i-d-an
resiklaj	r-e-s-i-k-l-a-j
manstriyèl	m-an-s-t-r-i-y-è-l
redengòt	r-e-d-en-g-ò-t
wotasyonèl	w-o-t-a-s-y-o-n-è-l
frekansite	f-r-e-k-an-s-i-t-e
klewon	k-l-e-w-on
kantin	k-an-t-i-n
lomaj	l-o-m-a-j
pwosesis	p-w-o-s-e-s-i-s
lanmè	l-an-m-è
piye	p-i-y-e
andikap	an-d-i-k-a-p
disènman	d-i-s-è-n-m-an
reyenstalasyon	r-e-y-en-s-t-a-l-a-s-y-on
bwochi	b-w-o-ch-i
endijès	en-d-i-j-è-s
dokimante	d-o-k-i-m-an-t-e
redanmsyon	r-e-d-an-m-s-y-on
lokalizasyon	l-o-k-a-l-i-z-a-s-y-on
bèf	b-è-f
mete	m-e-t-e
dedikas	d-e-d-i-k-a-s
kontraryete	k-on-t-r-a-r-y-e-t-e
fin	f-i-n
asistan	a-s-i-s-t-an
granmensi	g-r-an-m-en-s-i
brasonyè	b-r-a-s-on-y-è
don	d-on
Lèzantiy	L-è-z-an-t-i-y
ouswa	ou-s-w-a
layik	l-a-y-i-k
defye	d-e-f-y-e
ekzamine	e-k-z-a-m-i-n-e
kwak	k-w-a-k
toubouyon	t-ou-b-ou-y-on
kannale	k-an-n-a-l-e
paralize	p-a-r-a-l-i-z-e
lagonav	l-a-g-o-n-a-v
bodmè	b-o-d-m-è
patwa	p-a-t-w-a
elektrifikasyon	e-l-e-k-t-r-i-f-i-k-a-s-y-on
poubwa	p-ou-b-w-a
kat	k-a-t
jenerayon	j-e-n-e-r-a-y-on
Ednè	E-d-n-è
favè	f-a-v-è
dwoge	d-w-o-g-e
ofisye	o-f-i-s-y-e
Kongo	K-on-g-o
dòsal	d-ò-s-a-l
fonksyone	f-on-k-s-y-o-n-e
Deni	D-e-n-i
Elsalvadò	E-l-s-a-l-v-a-d-ò
woulib	w-ou-l-i-b
radyal	r-a-d-y-a-l
panameyen	p-a-n-a-m-e-y-en
bèlfi	b-è-l-f-i
detestab	d-e-t-e-s-t-a-b
vyolan	v-y-o-l-an
sibvansyon	s-i-b-v-an-s-y-on
espasyalize	e-s-p-a-s-y-a-l-i-z-e
pote	p-o-t-e
debòch	d-e-b-ò-ch
chòt	ch-ò-t
mitasyon	m-i-t-a-s-y-on
Ilann	I-l-an-n
rezidansyèl	r-e-z-i-d-an-s-y-è-l
elevasyon	e-l-e-v-a-s-y-on
fasafas	f-a-s-a-f-a-s
Santana	S-an-t-a-n-a
korentyen	k-o-r-en-t-y-en
demezire	d-e-m-e-z-i-r-e
Deriso	D-e-r-i-s-o
ijyèn	i-j-y-è-n
agrikòl	a-g-r-i-k-ò-l
tyeke	t-y-e-k-e
dekale	d-e-k-a-l-e
lonbray	l-on-b-r-a-y
fenomèm	f-e-n-o-m-è-m
patiraj	p-a-t-i-r-a-j
echwe	e-ch-w-e
ekspyasyon	e-k-s-p-y-a-s-y-on
kwazman	k-w-a-z-m-an
pral	p-r-a-l
dyòb	d-y-ò-b
gèp	g-è-p
jouktan	j-ou-k-t-an
Deloud	D-e-l-ou-d
ewoyik	e-w-o-y-i-k
danje	d-an-j-e
kwòk	k-w-ò-k
sotiz	s-o-t-i-z
pwopaje	p-w-o-p-a-j-e
libèten	l-i-b-è-t-en
bwòch	b-w-ò-ch
miltidisiplinè	m-i-l-t-i-d-i-s-i-p-l-i-n-è
Segen	S-e-g-en
predominans	p-r-e-d-o-m-i-n-an-s
afilye	a-f-i-l-y-e
moto	m-o-t-o
bikini	b-i-k-i-n-i
detèminen	d-e-t-è-m-i-n-en
chimis	ch-i-m-i-s
mistik	m-i-s-t-i-k
atelye	a-t-e-l-y-e
entèkiltirèl	en-t-è-k-i-l-t-i-r-è-l
bi	b-i
redije	r-e-d-i-j-e
swè	s-w-è
palmante	p-a-l-m-an-t-e
esprès	e-s-p-r-è-s
apokaliptik	a-p-o-k-a-l-i-p-t-i-k
boujwa	b-ou-j-w-a
zouk	z-ou-k
sansasyonalis	s-an-s-a-s-y-o-n-a-l-i-s
chòvsourit	ch-ò-v-s-ou-r-i-t
tranpe	t-r-an-p-e
disparèt	d-i-s-p-a-r-è-t
diswa	d-i-s-w-a
maglwaris	m-a-g-l-w-a-r-i-s
bwachat	b-w-a-ch-a-t
pousèt	p-ou-s-è-t
emoraji	e-m-o-r-a-j-i
chimik	ch-i-m-i-k
ranplasan	r-an-p-l-a-s-an
pasajè	p-a-s-a-j-è
trèzyèm	t-r-è-z-y-è-m
chèmètrès	ch-è-m-è-t-r-è-s
ekinodèm	e-k-i-n-o-d-è-m
antikolonyalis	an-t-i-k-o-l-o-n-y-a-l-i-s
Lwiz	L-w-i-z
pyete	p-y-e-t-e
machande	m-a-ch-an-d-e
Brenozè	B-r-e-n-o-z-è
jistisye	j-i-s-t-i-s-y-e
revoye	r-e-v-o-y-e
Semèvil	S-e-m-è-v-i-l
frèz	f-r-è-z
pwojeniti	p-w-o-j-e-n-i-t-i
gadyè	g-a-d-y-è
griyay	g-r-i-y-a-y
machwè	m-a-ch-w-è
egaleman	e-g-a-l-e-m-an
kouraj	k-ou-r-a-j
monitè	m-o-n-i-t-è
enfènal	en-f-è-n-a-l
nofraj	n-o-f-r-a-j
Sandwo	S-an-d-w-o
konwonpi	k-on-w-on-p-i
Gabryèl	G-a-b-r-y-è-l
eskrib	e-s-k-r-i-b
jenndoubout	j-en-n-d-ou-b-ou-t
alfabetik	a-l-f-a-b-e-t-i-k
dominan	d-o-m-i-n-an
fofile	f-o-f-i-l-e
fanmsaj	f-an-m-s-a-j
potansyèl	p-o-t-an-s-y-è-l
fondamantalis	f-on-d-a-m-an-t-a-l-i-s
paswòd	p-a-s-w-ò-d
detant	d-e-t-an-t
envesti	en-v-e-s-t-i
nasyonal	n-a-s-y-o-n-a-l
kèlkonk	k-è-l-k-on-k
deplwaye	d-e-p-l-w-a-y-e
sanitasyon	s-a-n-i-t-a-s-y-on
marengwen	m-a-r-en-g-w-en
mizansèn	m-i-z-an-s-è-n
nonsèlman	n-on-s-è-l-m-an
metodoloji	m-e-t-o-d-o-l-o-j-i
nèj	n-è-j
Sonia	S-o-n-i-a
dènyè	d-è-n-y-è
Mabyal	M-a-b-y-a-l
souflantchou	s-ou-f-l-an-t-ch-ou
domaj	d-o-m-a-j
Moriso	M-o-r-i-s-o
anmèdman	an-m-è-d-m-an
dè	d-è
atlas	a-t-l-a-s
byenveni	b-y-en-v-e-n-i
advantis	a-d-v-an-t-i-s
Soraya	S-o-r-a-y-a
manifakti	m-a-n-i-f-a-k-t-i
byochimi	b-y-o-ch-i-m-i
toutalantou	t-ou-t-a-l-an-t-ou
katchouboumbe	k-a-t-ch-ou-b-ou-m-b-e
konprès	k-on-p-r-è-s
absans	a-b-s-an-s
lavèy	l-a-v-è-y
siprès	s-i-p-r-è-s
zagribay	z-a-g-r-i-b-a-y
kontestatè	k-on-t-e-s-t-a-t-è
senbal	s-en-b-a-l
migrasyon	m-i-g-r-a-s-y-on
sou	s-ou
Tènèv	T-è-n-è-v
toupizi	t-ou-p-i-z-i
distribitè	d-i-s-t-r-i-b-i-t-è
plòtonnen	p-l-ò-t-on-n-en
leta	l-e-t-a
rezonnman	r-e-z-on-n-m-an
diznèf	d-i-z-n-è-f
lisansiman	l-i-s-an-s-i-m-an
imèb	i-m-è-b
tchala	t-ch-a-l-a
grate	g-r-a-t-e
kote	k-o-t-e
pousib	p-ou-s-i-b
Majestik	M-a-j-e-s-t-i-k
achevèk	a-ch-e-v-è-k
kwonikman	k-w-o-n-i-k-m-an
esplwate	e-s-p-l-w-a-t-e
viktim	v-i-k-t-i-m
mekontan	m-e-k-on-t-an
anachi	a-n-a-ch-i
Katalan	K-a-t-a-l-an
Twopikana	T-w-o-p-i-k-a-n-a
plasman	p-l-a-s-m-an
ekzajere	e-k-z-a-j-e-r-e
espesyalizasyon	e-s-p-e-s-y-a-l-i-z-a-s-y-on
fyesta	f-y-e-s-t-a
apwouve	a-p-w-ou-v-e
konfò	k-on-f-ò
kòmanse	k-ò-m-an-s-e
Nerèt	N-e-r-è-t
sinagòg	s-i-n-a-g-ò-g
debloke	d-e-b-l-o-k-e
etandone	e-t-an-d-o-n-e
merite	m-e-r-i-t-e
konkrètman	k-on-k-r-è-t-m-an
inosan	i-n-o-s-an
anivèsè	a-n-i-v-è-s-è
emisyon	e-m-i-s-y-on
rapidopresto	r-a-p-i-d-o-p-r-e-s-t-o
Izaak	I-z-a-a-k
eksplorasyon	e-k-s-p-l-o-r-a-s-y-on
restrenn	r-e-s-t-r-en-n
dilye	d-i-l-y-e
reyini	r-e-y-i-n-i
izolan	i-z-o-l-an
batisman	b-a-t-i-s-m-an
kreve	k-r-e-v-e
sitwonnèl	s-i-t-w-on-n-è-l
revini	r-e-v-i-n-i
twoub	t-w-ou-b
ispanyola	i-s-p-a-n-y-o-l-a
Nòdwes	N-ò-d-w-e-s
seri	s-e-r-i
Miryam	M-i-r-y-a-m
podyòm	p-o-d-y-ò-m
aveni	a-v-e-n-i
konfye	k-on-f-y-e
konsekans	k-on-s-e-k-an-s
ensomni	en-s-o-m-n-i
Sarazen	S-a-r-a-z-en
soulaje	s-ou-l-a-j-e
fondamental	f-on-d-a-m-en-t-a-l
danno	d-an-n-o
atake	a-t-a-k-e
Dyedone	D-y-e-d-o-n-e
vital	v-i-t-a-l
trankilman	t-r-an-k-i-l-m-an
lobedyans	l-o-b-e-d-y-an-s
pwoche	p-w-o-ch-e
degradan	d-e-g-r-a-d-an
Evrès	E-v-r-è-s
parapò	p-a-r-a-p-ò
devèn	d-e-v-è-n
debranche	d-e-b-r-an-ch-e
sizanka	s-i-z-an-k-a
bòdwo	b-ò-d-w-o
mwayenoryan	m-w-a-y-e-n-o-r-y-an
dyetetik	d-y-e-t-e-t-i-k
twouble	t-w-ou-b-l-e
enkòpore	en-k-ò-p-o-r-e
Kamèn	K-a-m-è-n
Kabarè	K-a-b-a-r-è
konfidans	k-on-f-i-d-an-s
Almeyida	A-l-m-e-y-i-d-a
jenewozite	j-e-n-e-w-o-z-i-t-e
jouk	j-ou-k
liberatè	l-i-b-e-r-a-t-è
tandrès	t-an-d-r-è-s
lèn	l-è-n
fijitif	f-i-j-i-t-i-f
molekilè	m-o-l-e-k-i-l-è
antrenè	an-t-r-e-n-è
gou	g-ou
abstraksyon	a-b-s-t-r-a-k-s-y-on
toujis	t-ou-j-i-s
entreprenarya	en-t-r-e-p-r-e-n-a-r-y-a
anwo	an-w-o
lafwa	l-a-f-w-a
abstinans	a-b-s-t-i-n-an-s
olokos	o-l-o-k-o-s
pasyèlman	p-a-s-y-è-l-m-an
modifikasyon	m-o-d-i-f-i-k-a-s-y-on
tèlkòm	t-è-l-k-ò-m
lojisyèl	l-o-j-i-s-y-è-l
aderans	a-d-e-r-an-s
amann	a-m-an-n
blòk	b-l-ò-k
jesyon	j-e-s-y-on
kaprikòn	k-a-p-r-i-k-ò-n
manifestan	m-a-n-i-f-e-s-t-an
lanpatèt	l-an-p-a-t-è-t
prevansyon	p-r-e-v-an-s-y-on
plonjon	p-l-on-j-on
monsenyè	m-on-s-e-n-y-è
libètinaj	l-i-b-è-t-i-n-a-j
revitalizasyon	r-e-v-i-t-a-l-i-z-a-s-y-on
mòg	m-ò-g
jilèt	j-i-l-è-t
vwala	v-w-a-l-a
plizoumwen	p-l-i-z-ou-m-w-en
ranvwaye	r-an-v-w-a-y-e
Menès	M-e-n-è-s
tchoule	t-ch-ou-l-e
lokatif	l-o-k-a-t-i-f
pwofondè	p-w-o-f-on-d-è
Ogou	O-g-ou
gramatikal	g-r-a-m-a-t-i-k-a-l
granchemen	g-r-an-ch-e-m-en
etap	e-t-a-p
Kristi	K-r-i-s-t-i
Etyopyen	E-t-y-o-p-y-en
Grasya	G-r-a-s-y-a
trimay	t-r-i-m-a-y
sivilite	s-i-v-i-l-i-t-e
sosyal	s-o-s-y-a-l
molekil	m-o-l-e-k-i-l
ekzakteman	e-k-z-a-k-t-e-m-an
negòs	n-e-g-ò-s
reyakòde	r-e-y-a-k-ò-d-e
biwo	b-i-w-o
sandizan	s-an-d-i-z-an
trimen	t-r-i-m-en
detounman	d-e-t-ou-n-m-an
Elèn	E-l-è-n
zòn	z-ò-n
asasine	a-s-a-s-i-n-e
penti	p-en-t-i
mouri	m-ou-r-i
twati	t-w-a-t-i
lwanje	l-w-an-j-e
inonsan	i-n-on-s-an
trèz	t-r-è-z
transpozisyon	t-r-an-s-p-o-z-i-s-y-on
bouzen	b-ou-z-en
wonfò	w-on-f-ò
wobinèt	w-o-b-i-n-è-t
ajoupa	a-j-ou-p-a
zèl	z-è-l
desant	d-e-s-an-t
divan	d-i-v-an
inekzaktitid	i-n-e-k-z-a-k-t-i-t-i-d
alèlè	a-l-è-l-è
ensilt	en-s-i-l-t
mansonj	m-an-s-on-j
sonbre	s-on-b-r-e
privatize	p-r-i-v-a-t-i-z-e
rektifye	r-e-k-t-i-f-y-e
Bwadòm	B-w-a-d-ò-m
landenmen	l-an-d-en-m-en
zefè	z-e-f-è
Lavalasyen	L-a-v-a-l-a-s-y-en
rakontè	r-a-k-on-t-è
Pyèchal	P-y-è-ch-a-l
chalbare	ch-a-l-b-a-r-e
mennenjit	m-en-n-en-j-i-t
emigre	e-m-i-g-r-e
kriptaj	k-r-i-p-t-a-j
tchipe	t-ch-i-p-e
amnezi	a-m-n-e-z-i
siveyè	s-i-v-e-y-è
relijyon	r-e-l-i-j-y-on
Montou	M-on-t-ou
Asndeno	A-s-n-d-e-n-o
detektiv	d-e-t-e-k-t-i-v
anime	a-n-i-m-e
afwon	a-f-w-on
masif	m-a-s-i-f
pouse	p-ou-s-e
sèpan	s-è-p-an
deblozay	d-e-b-l-o-z-a-y
Tantann	T-an-t-an-n
òkès	ò-k-è-s
kontrevolisyon	k-on-t-r-e-v-o-l-i-s-y-on
chou	ch-ou
Dariyis	D-a-r-i-y-i-s
Soufran	S-ou-f-r-an
reverans	r-e-v-e-r-an-s
konsomatè	k-on-s-o-m-a-t-è
espedisyon	e-s-p-e-d-i-s-y-on
krache	k-r-a-ch-e
saf	s-a-f
devalorizasyon	d-e-v-a-l-o-r-i-z-a-s-y-on
kapti	k-a-p-t-i
kòk	k-ò-k
parapwofesyonèl	p-a-r-a-p-w-o-f-e-s-y-o-n-è-l
kannalizasyon	k-an-n-a-l-i-z-a-s-y-on
dyosèz	d-y-o-s-è-z
ouvètman	ou-v-è-t-m-an
sipèstisye	s-i-p-è-s-t-i-s-y-e
diskisyon	d-i-s-k-i-s-y-on
dejwente	d-e-j-w-en-t-e
Brijit	B-r-i-j-i-t
boubou	b-ou-b-ou
jantiyès	j-an-t-i-y-è-s
santimèt	s-an-t-i-m-è-t
lanmidon	l-an-m-i-d-on
Bonifas	B-o-n-i-f-a-s
vèti	v-è-t-i
lenfinitif	l-en-f-i-n-i-t-i-f
Tesalonik	T-e-s-a-l-o-n-i-k
atou	a-t-ou
entèkonèksyon	en-t-è-k-o-n-è-k-s-y-on
tinedjè	t-i-n-e-d-j-è
senklè	s-en-k-l-è
byè	b-y-è
fabrikasyon	f-a-b-r-i-k-a-s-y-on
farinen	f-a-r-i-n-en
kòmkwa	k-ò-m-k-w-a
Plezans	P-l-e-z-an-s
iminolojis	i-m-i-n-o-l-o-j-i-s
pòtoriken	p-ò-t-o-r-i-k-en
etiketaj	e-t-i-k-e-t-a-j
gravitasyonèl	g-r-a-v-i-t-a-s-y-o-n-è-l
kabicha	k-a-b-i-ch-a
opwofi	o-p-w-o-f-i
lokalize	l-o-k-a-l-i-z-e
abi	a-b-i
fèmte	f-è-m-t-e
posiblite	p-o-s-i-b-l-i-t-e
enfòmatisyen	en-f-ò-m-a-t-i-s-y-en
aditif	a-d-i-t-i-f
nanan	n-a-n-an
apovrisman	a-p-o-v-r-i-s-m-an
detèryorasyon	d-e-t-è-r-y-o-r-a-s-y-on
siting	s-i-t-i-ng
britalite	b-r-i-t-a-l-i-t-e
moralite	m-o-r-a-l-i-t-e
deyès	d-e-y-è-s
Palmis	P-a-l-m-i-s
Baltimò	B-a-l-t-i-m-ò
kouplè	k-ou-p-l-è
ounfò	oun-f-ò
resepsyon	r-e-s-e-p-s-y-on
fondalnatal	f-on-d-a-l-n-a-t-a-l
Zadòk	Z-a-d-ò-k
refoulman	r-e-f-ou-l-m-an
entelektyèlman	en-t-e-l-e-k-t-y-è-l-m-an
sekansyèl	s-e-k-an-s-y-è-l
Nouyòk	N-ou-y-ò-k
Salamin	S-a-l-a-m-i-n
entra	en-t-r-a
gwondman	g-w-on-d-m-an
modòd	m-o-d-ò-d
logo	l-o-g-o
